User ID,Instrument,Amount,Lots,Action,Open Time (UK - GMT/BST),Open Rate
137192,XAUUSD,1,0.01,SELL,2025-04-01 01:12:59,3123.3
137192,XAUUSD,1,0.01,SELL,2025-04-01 01:30:28,3124.19
120916,XAUUSD,1,0.01,BUY,2025-04-01 02:00:22,3127.85
120916,XAUUSD,1,0.01,BUY,2025-04-01 02:02:27,3133.44
137192,XAUUSD,1,0.01,SELL,2025-04-01 02:03:17,3133.17
126555,XAUUSD,3,0.03,BUY,2025-04-01 02:03:37,3133.88
120916,XAUUSD,1,0.01,BUY,2025-04-01 02:06:50,3129.57
137192,XAUUSD,1,0.01,SELL,2025-04-01 02:10:55,3131.74
120916,XAUUSD,1,0.01,BUY,2025-04-01 02:29:07,3134.6
126555,XAUUSD,2,0.02,BUY,2025-04-01 02:30:00,3133.85
120916,XAUUSD,1,0.01,BUY,2025-04-01 02:33:14,3133.3
120916,XAUUSD,1,0.01,BUY,2025-04-01 02:35:40,3133.68
120916,XAUUSD,1,0.01,BUY,2025-04-01 02:44:30,3136.14
120916,XAUUSD,1,0.01,BUY,2025-04-01 02:54:05,3136.31
120916,XAUUSD,1,0.01,BUY,2025-04-01 02:56:37,3135.34
137192,XAUUSD,1,0.01,SELL,2025-04-01 03:02:10,3134.55
137192,XAUUSD,1,0.01,SELL,2025-04-01 03:15:39,3139.11
137192,XAUUSD,1,0.01,SELL,2025-04-01 03:37:01,3141.99
137192,XAUUSD,1,0.01,BUY,2025-04-01 03:45:31,3143.19
126555,XAUUSD,2,0.02,BUY,2025-04-01 03:52:35,3145.1
126555,XAUUSD,3,0.03,BUY,2025-04-01 03:52:35,3145.1
120916,XAUUSD,1,0.01,SELL,2025-04-01 03:57:27,3144.88
118490,XAUUSD,1,0.01,BUY,2025-04-01 04:18:36,3144.94
131560,XAUUSD,1,0.01,SELL,2025-04-01 04:29:04,3144.51
131444,XAUUSD,1,0.01,SELL,2025-04-01 04:30:49,3145
134913,XAUUSD,1,0.01,BUY,2025-04-01 04:31:33,3145.44
132021,XAUUSD,2,0.02,SELL,2025-04-01 04:39:36,3144.88
133528,XAUUSD,1,0.01,SELL,2025-04-01 04:43:24,3144.02
133222,XAUUSD,2,0.02,SELL,2025-04-01 04:46:33,3145.1
130162,XAUUSD,3,0.03,SELL,2025-04-01 04:53:12,3146
132021,XAUUSD,3,0.03,SELL,2025-04-01 04:58:49,3146.09
133628,XAUUSD,1,0.01,BUY,2025-04-01 05:10:51,3147.85
136510,XAUUSD,1,0.01,SELL,2025-04-01 05:15:16,3146.03
132021,XAUUSD,1,0.01,SELL,2025-04-01 05:17:10,3145.61
128196,XAUUSD,1,0.01,SELL,2025-04-01 05:19:41,3145.34
137192,XAUUSD,1,0.01,SELL,2025-04-01 05:31:48,3144.6
131530,XAUUSD,2,0.02,SELL,2025-04-01 05:34:41,3144.8
137192,XAUUSD,1,0.01,SELL,2025-04-01 06:04:54,3143.29
122906,XAUUSD,1,0.01,BUY,2025-04-01 06:13:41,3142.69
137226,XAUUSD,1,0.01,BUY,2025-04-01 06:23:24,3145.24
137226,XAUUSD,1,0.01,BUY,2025-04-01 06:26:06,3144.69
131444,XAUUSD,1,0.01,SELL,2025-04-01 06:38:07,3148
137226,XAUUSD,1,0.01,SELL,2025-04-01 06:51:54,3139.57
137226,XAUUSD,1,0.01,BUY,2025-04-01 06:52:49,3138.96
122906,XAUUSD,1,0.01,BUY,2025-04-01 06:53:01,3138.56
137226,XAUUSD,1,0.01,BUY,2025-04-01 06:55:50,3132.83
120572,XAUUSD,5,0.05,BUY,2025-04-01 06:57:34,3134.98
133628,XAUUSD,1,0.01,SELL,2025-04-01 07:03:35,3127.51
137192,XAUUSD,1,0.01,SELL,2025-04-01 07:07:40,3131.25
132021,XAUUSD,2,0.02,BUY,2025-04-01 07:10:03,3129.57
137192,XAUUSD,1,0.01,BUY,2025-04-01 07:11:42,3129.79
137192,XAUUSD,1,0.01,BUY,2025-04-01 07:13:29,3131.59
128824,XAUUSD,10,0.1,BUY,2025-04-01 07:16:27,3133.11
137192,XAUUSD,1,0.01,BUY,2025-04-01 07:19:57,3133.23
128824,XAUUSD,10,0.1,BUY,2025-04-01 07:22:48,3134.97
137139,XAUUSD,2,0.02,SELL,2025-04-01 07:26:15,3136.06
137192,XAUUSD,1,0.01,SELL,2025-04-01 07:27:09,3137.18
134875,XAUUSD,1,0.01,BUY,2025-04-01 07:27:16,3137.76
137139,XAUUSD,1,0.01,SELL,2025-04-01 07:27:50,3137.47
137136,XAUUSD,2,0.02,SELL,2025-04-01 07:28:37,3137.77
133119,XAUUSD,1,0.01,SELL,2025-04-01 07:30:11,3135.1
137192,XAUUSD,1,0.01,BUY,2025-04-01 07:31:22,3136.35
128824,XAUUSD,10,0.1,BUY,2025-04-01 07:32:29,3136.96
121415,XAUUSD,1,0.01,BUY,2025-04-01 07:34:48,3137.41
128824,XAUUSD,5,0.05,BUY,2025-04-01 07:36:01,3137.75
137192,XAUUSD,1,0.01,BUY,2025-04-01 07:36:12,3137.66
137192,XAUUSD,1,0.01,BUY,2025-04-01 07:51:54,3134.62
137546,XAUUSD,5,0.05,BUY,2025-04-01 07:57:20,3133.87
137242,XAUUSD,1,0.01,BUY,2025-04-01 08:05:10,3133.6
136380,XAUUSD,1,0.01,BUY,2025-04-01 08:05:21,3133.58
137192,XAUUSD,1,0.01,BUY,2025-04-01 08:18:35,3135.59
137192,XAUUSD,1,0.01,BUY,2025-04-01 08:25:03,3133.93
133763,XAUUSD,1,0.01,BUY,2025-04-01 08:28:28,3132.92
122138,XAUUSD,1,0.01,BUY,2025-04-01 08:29:42,3132.67
133694,XAUUSD,1,0.01,SELL,2025-04-01 08:33:56,3130.08
133694,XAUUSD,1,0.01,SELL,2025-04-01 08:35:48,3129.52
136380,XAUUSD,1,0.01,BUY,2025-04-01 08:37:16,3129.91
133694,XAUUSD,1,0.01,SELL,2025-04-01 08:39:19,3128.76
122138,XAUUSD,1,0.01,BUY,2025-04-01 08:41:12,3127.77
133628,XAUUSD,1,0.01,BUY,2025-04-01 08:41:34,3128.51
120572,XAUUSD,2,0.02,BUY,2025-04-01 08:43:53,3128.03
134181,XAUUSD,1,0.01,BUY,2025-04-01 08:45:18,3126.92
136544,XAUUSD,2,0.02,SELL,2025-04-01 08:45:31,3126.43
134181,XAUUSD,1,0.01,BUY,2025-04-01 08:47:43,3126.08
136544,XAUUSD,3,0.03,SELL,2025-04-01 08:48:08,3125.9
131833,XAUUSD,1,0.01,BUY,2025-04-01 08:51:11,3126.7
137546,XAUUSD,6,0.06,BUY,2025-04-01 08:51:19,3126.76
135350,XAUUSD,1,0.01,BUY,2025-04-01 09:01:20,3129
122045,XAUUSD,1,0.01,BUY,2025-04-01 09:03:51,3129.63
122045,XAUUSD,2,0.02,BUY,2025-04-01 09:03:59,3129.88
122695,XAUUSD,10,0.1,BUY,2025-04-01 09:07:51,3133.07
133628,XAUUSD,1,0.01,BUY,2025-04-01 09:17:23,3133.79
122392,XAUUSD,2,0.02,BUY,2025-04-01 09:29:45,3132.71
134471,XAUUSD,1,0.01,BUY,2025-04-01 09:48:31,3132.7
121242,XAUUSD,2,0.02,BUY,2025-04-01 09:49:57,3131.96
121738,XAUUSD,2,0.02,BUY,2025-04-01 09:50:52,3130.95
128824,XAUUSD,10,0.1,SELL,2025-04-01 09:52:21,3130.3
136380,XAUUSD,1,0.01,BUY,2025-04-01 09:57:06,3130
126560,XAUUSD,9,0.09,BUY,2025-04-01 09:59:33,3131.42
130162,XAUUSD,2,0.02,BUY,2025-04-01 10:05:13,3131.67
137192,XAUUSD,1,0.01,BUY,2025-04-01 10:30:01,3132.66
137192,XAUUSD,1,0.01,BUY,2025-04-01 10:37:35,3131.99
137192,XAUUSD,1,0.01,SELL,2025-04-01 10:42:59,3132.29
137623,XAUUSD,5,0.05,BUY,2025-04-01 10:56:07,3133.39
133639,XAUUSD,1,0.01,BUY,2025-04-01 11:10:11,3132.14
133849,XAUUSD,1,0.01,BUY,2025-04-01 11:24:04,3138.54
126560,XAUUSD,9,0.09,BUY,2025-04-01 11:34:14,3137.98
136380,XAUUSD,1,0.01,BUY,2025-04-01 11:39:40,3135.25
136380,XAUUSD,1,0.01,BUY,2025-04-01 12:11:16,3131.16
136380,XAUUSD,1,0.01,BUY,2025-04-01 12:23:40,3130.7
136380,XAUUSD,1,0.01,BUY,2025-04-01 12:36:41,3133.54
137628,XAUUSD,2,0.02,BUY,2025-04-01 12:46:29,3133.04
122392,XAUUSD,1,0.01,BUY,2025-04-01 12:59:19,3130.29
122392,XAUUSD,1,0.01,BUY,2025-04-01 12:59:23,3130.58
136380,XAUUSD,1,0.01,BUY,2025-04-01 13:00:55,3129.05
120916,XAUUSD,1,0.01,BUY,2025-04-01 13:09:22,3132.01
133849,XAUUSD,1,0.01,BUY,2025-04-01 13:10:29,3132.27
131833,XAUUSD,1,0.01,BUY,2025-04-01 13:14:30,3131.91
137176,XAUUSD,1,0.01,BUY,2025-04-01 13:14:30,3131.91
120916,XAUUSD,1,0.01,SELL,2025-04-01 13:16:17,3131.63
118627,XAUUSD,4,0.04,BUY,2025-04-01 13:25:43,3134.56
120916,XAUUSD,1,0.01,BUY,2025-04-01 13:38:08,3133.94
131739,XAUUSD,1,0.01,SELL,2025-04-01 13:51:52,3132.92
132021,XAUUSD,1,0.01,BUY,2025-04-01 14:09:39,3136.92
132021,XAUUSD,2,0.02,BUY,2025-04-01 14:13:14,3135.52
131739,XAUUSD,1,0.01,SELL,2025-04-01 14:21:31,3131.46
131739,XAUUSD,1,0.01,SELL,2025-04-01 14:21:57,3131.66
137192,XAUUSD,1,0.01,BUY,2025-04-01 14:27:48,3129.35
136380,XAUUSD,1,0.01,SELL,2025-04-01 14:27:51,3128.79
120916,XAUUSD,1,0.01,SELL,2025-04-01 14:30:59,3129.12
120916,XAUUSD,1,0.01,SELL,2025-04-01 14:31:14,3128.89
132021,XAUUSD,1,0.01,BUY,2025-04-01 14:31:37,3131.08
137192,XAUUSD,1,0.01,SELL,2025-04-01 14:32:40,3130.77
120916,XAUUSD,1,0.01,SELL,2025-04-01 14:35:32,3130.76
131739,XAUUSD,1,0.01,SELL,2025-04-01 14:37:11,3129.54
137192,XAUUSD,1,0.01,SELL,2025-04-01 14:39:26,3131.42
131739,XAUUSD,1,0.01,BUY,2025-04-01 14:41:06,3134.77
121951,XAUUSD,1,0.01,SELL,2025-04-01 14:41:35,3133.28
120916,XAUUSD,1,0.01,BUY,2025-04-01 14:59:37,3134.02
120916,XAUUSD,1,0.01,BUY,2025-04-01 15:05:11,3133.69
120916,XAUUSD,1,0.01,BUY,2025-04-01 15:06:23,3134.05
131739,XAUUSD,1,0.01,SELL,2025-04-01 15:14:18,3125.85
131739,XAUUSD,1,0.01,SELL,2025-04-01 15:14:31,3124.42
131739,XAUUSD,1,0.01,SELL,2025-04-01 15:14:46,3125.38
136380,XAUUSD,1,0.01,SELL,2025-04-01 15:16:38,3128.23
131833,XAUUSD,1,0.01,BUY,2025-04-01 15:20:39,3126.86
120916,XAUUSD,1,0.01,SELL,2025-04-01 15:22:46,3124.04
120916,XAUUSD,1,0.01,SELL,2025-04-01 15:23:06,3124.75
